UF [-];Código [-];Gentílico [-];Governador [2023];Capital [2010];Área Territorial - km² [2022];População residente - pessoas [2022];Densidade demográfica - hab/km² [2022];Matrículas no ensino fundamental - matrículas [2023];IDH <span>Índice de desenvolvimento humano</span> [2021];Receitas realizadas - R$ (×1000) [2017];Despesas empenhadas - R$ (×1000) [2017];Rendimento mensal domiciliar per capita - R$ [2023];Total de veículos - veículos [2022]
Acre;12;acriano;GLADSON DE LIMA CAMELI;Rio Branco;164173,429;830018;5,06;147350;0,71;6632883,108;6084416,806;1095;334377
Alagoas;27;alagoano;PAULO SURUAGY DO AMARAL DANTAS;Maceió;27830,661;3127683;112,38;439014;0,684;11950438,46;10460634,92;1110;1034187
Amapá;16;amapaense;CLÉCIO LUÍS VILHENA VIEIRA;Macapá;142470,762;733759;5,15;131948;0,688;5396417,145;4224464,088;1520;232691
Amazonas;13;amazonense;WILSON MIRANDA LIMA;Manaus;1559255,881;3941613;2,53;692623;0,7;17328459,43;15324896,56;1172;1069794
Bahia;29;baiano;JERÔNIMO RODRIGUES SOUZA;Salvador;564760,429;14141626;25,04;1865574;0,691;50191003,24;45570160;1139;4887673
Ceará;23;cearense;ELMANO DE FREITAS DA COSTA;Fortaleza;148894,447;8794957;59,07;1134636;0,734;28420222,47;24608352,18;1166;3625994
Distrito Federal;53;brasiliense;IBANEIS ROCHA BARROS JÚNIOR;Brasília;5760,784;2817381;489,06;361438;0,814;23812211,27;21990464,68;3357;2021627
Espírito Santo;32;capixaba ou espírito-santense;JOSÉ RENATO CASAGRANDE;Vitória;46074,448;3833712;83,21;498357;0,771;19685616,74;14392338;1915;2248960
Goiás;52;goiano;RONALDO RAMOS CAIADO;Goiânia;340242,859;7056495;20,74;868222;0,737;37885335,17;24248380,34;2017;4542235
Maranhão;21;maranhense;CARLOS ORLEANS BRANDÃO JÚNIOR;São Luís;329651,496;6776699;20,56;1045700;0,676;18503261,35;17627170,76;945;2031236
Mato Grosso;51;mato-grossense;MAURO MENDES FERREIRA;Cuiabá;903208,361;3658649;4,05;507089;0,736;23958528,84;18187363,27;1991;2568240
Mato Grosso do Sul;50;sul-mato-grossense ou mato-grossense-do-sul;EDUARDO CORREA RIEDEL;Campo Grande;357142,082;2757013;7,72;393616;0,742;16396655,77;14506915,37;2030;1824708
Minas Gerais;31;mineiro;ROMEU ZEMA NETO;Belo Horizonte;586513,983;20539989;35,02;2343279;0,774;97199823,16;98391669,16;1918;13028883
Pará;15;paraense;HELDER ZAHLUTH BARBALHO;Belém;1245870,704;8120131;6,52;1331723;0,69;25849446,1;22533470,05;1282;2478988
Paraíba;25;paraibano;JOÃO AZEVEDO LINS FILHO;João Pessoa;56467,242;3974687;70,39;523996;0,698;13097005,32;10074700,04;1320;1523167
Paraná;41;paranaense;CARLOS ROBERTO MASSA JUNIOR;Curitiba;199298,981;11444380;57,42;1365869;0,769;60163576,12;55534402,97;2115;8575905
Pernambuco;26;pernambucano;RAQUEL TEIXEIRA LYRA LUCENA;Recife;98067,877;9058931;92,37;1229419;0,719;35746028,97;33320486,44;1113;3439164
Piauí;22;piauiense;RAFAEL TAJRA FONTELES;Teresina;251755,481;3271199;12,99;439111;0,69;12124215,62;9676736,318;1342;1385426
Rio de Janeiro;33;fluminense;CLÁUDIO BOMFIM DE CASTRO E SILVA;Rio de Janeiro;43750,425;16055174;366,97;1945098;0,762;78488140,79;67965548,7;2367;7475503
Rio Grande do Norte;24;potiguar ou norte-rio-grandense ou rio-grandense-do-norte;MARIA DE FATIMA BEZERRA;Natal;52809,599;3302729;62,54;437133;0,728;13527552,73;11330957,55;1373;1495094
Rio Grande do Sul;43;gaúcho ou sul-rio-grandense;EDUARDO FIGUEIREDO CAVALHEIRO LEITE;Porto Alegre;281707,151;10882965;38,63;1255794;0,771;66397468,18;62476279,34;2304;7869630
Rondônia;11;rondoniense ou rondoniano;MARCOS JOSÉ ROCHA DOS SANTOS;Porto Velho;237754,172;1581196;6,65;227246;0,7;9122310,723;7085530,017;1527;1154287
Roraima;14;roraimense;ANTONIO OLIVERIO GARCIA DE ALMEIDA;Boa Vista;223644,53;636707;2,85;111096;0,699;4266318,548;3865094,271;1425;263345
Santa Catarina;42;catarinense ou barriga-verde;JORGINHO DOS SANTOS MELLO;Florianópolis;95730,69;7610361;79,5;941272;0,792;34696772,82;25595103,38;2269;5974106
São Paulo;35;paulista;TARCISIO GOMES DE FREITAS;São Paulo;248219,485;44411238;178,92;5343271;0,806;232822496,6;231982243,7;2492;32293191
Sergipe;28;sergipano ou sergipense;FÁBIO CRUZ MITIDIERI;Aracaju;21938,188;2210004;100,74;305930;0,702;10145046,95;8494927,2;1218;907388
Tocantins;17;tocantinense;WANDERLEI BARBOSA CASTRO;Palmas;277423,627;1511460;5,45;222404;0,731;10305099,01;8929456,438;1581;830733
