Ano 1º Sintoma(s);RO;AC;AM;RR;PA;AP;TO;MA;PI;CE;RN;PB;PE;AL;SE;BA;MG;ES;RJ;SP;PR;SC;RS;MS;MT;GO;DF;Total
2007;66;1;-;-;4;-;3;3;7;82;223;144;4101;179;656;19599;1333;3585;146;1601;296;9;4;6;23;21;24;32116
2008;44;2;-;-;10;1;1;30;2;54;70;118;2476;96;71;2160;3588;2282;176;1271;184;6;7;3;12;9;14;12687
2009;59;-;-;-;41;-;2;89;1;118;80;67;1279;43;98;754;12487;1891;148;1381;214;3;1;6;6;16;11;18795
2010;69;-;-;-;5;1;1;73;-;87;48;81;365;98;65;737;22189;1487;107;1111;63;7;5;8;8;12;7;26634
2011;22;-;-;-;26;-;-;68;6;17;24;159;318;47;96;719;11064;665;78;1128;38;6;2;9;45;8;4;14549
2012;26;-;-;-;4;1;3;59;4;19;25;154;256;21;74;613;5261;474;74;1066;54;5;2;4;21;7;6;8233
2013;28;-;-;-;17;-;4;10;2;20;32;38;280;20;100;679;3823;487;99;897;34;5;1;7;50;11;7;6651
2014;35;-;-;-;27;-;7;19;1;28;15;115;297;33;101;836;3459;370;88;722;35;13;3;8;26;17;15;6270
2015;35;-;2;-;14;1;3;15;-;35;27;87;366;55;151;696;3432;414;104;528;28;11;2;12;23;17;9;6067
2016;50;-;-;-;9;-;-;9;-;25;27;124;231;119;118;430;2780;298;94;544;40;3;4;12;32;11;17;4977
2017;64;-;-;1;19;1;3;80;2;36;27;110;225;87;98;471;2028;291;94;560;56;9;-;7;23;11;23;4326
2018;57;-;-;3;9;1;3;52;1;37;8;46;159;92;125;316;2035;438;39;549;50;13;3;8;8;11;21;4084
2019;21;1;-;-;22;-;-;14;-;28;29;26;155;63;103;260;1646;436;44;362;46;7;-;14;20;4;18;3319
2020;17;-;-;-;5;1;-;6;1;13;30;38;156;40;58;187;1014;-;27;184;14;8;1;5;14;20;16;1855
2021;18;-;1;-;11;3;2;18;3;24;31;69;173;58;81;236;1246;-;40;208;16;15;3;2;10;15;15;2298
2022;38;1;-;-;20;-;3;22;1;26;18;88;144;43;95;297;1404;-;121;196;19;9;-;3;11;11;13;2583
2023;12;-;-;-;12;1;4;21;4;12;21;70;112;60;92;498;1508;-;69;161;16;12;2;3;8;2;6;2706
Total;711;5;3;4;257;11;39;592;36;669;753;1554;11493;1306;2499;31504;80748;13608;1574;12889;1265;141;41;117;345;208;238;162610
 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
