Ano 1º Sintoma(s);RO;AC;AM;RR;PA;AP;TO;MA;PI;CE;RN;PB;PE;AL;SE;BA;MG;ES;RJ;SP;PR;SC;RS;MS;MT;GO;DF;Total
2006;-;2;4;-;1;5;-;3;-;-;-;-;-;-;-;1;3;6;8;29;9;5;8;-;3;1;4;92
2007;2;23;46;2;111;58;-;17;-;70;3;15;205;49;87;123;81;149;246;750;371;370;521;2;1;6;24;3332
2008;16;40;50;4;131;92;2;56;5;92;18;14;193;79;72;114;79;140;273;594;197;954;411;7;13;8;25;3679
2009;29;69;61;1;100;98;2;57;18;304;40;13;206;75;58;156;104;236;318;861;203;427;465;3;1;8;34;3947
2010;14;46;40;2;94;66;2;40;1;38;20;8;270;69;72;199;94;277;289;889;334;441;468;2;3;7;35;3820
2011;56;136;74;-;130;97;3;47;1;134;35;26;379;86;52;167;115;295;420;985;464;696;543;-;8;3;17;4969
2012;14;262;71;3;102;81;4;21;3;59;13;18;119;49;36;94;123;242;190;784;236;412;282;6;6;19;20;3269
2013;149;542;63;5;126;49;11;19;3;32;7;19;173;57;33;187;148;168;235;954;319;342;440;6;3;26;34;4150
2014;186;1213;84;4;130;88;3;34;2;50;13;16;222;68;44;116;124;232;154;755;248;348;482;16;4;20;20;4676
2015;81;958;73;1;129;51;1;19;2;29;21;11;139;34;41;124;113;78;137;630;509;555;524;14;11;19;36;4340
2016;41;186;48;-;125;83;3;15;2;49;4;9;158;16;18;55;158;58;169;595;419;371;409;9;7;23;36;3066
2017;19;226;71;2;123;65;3;21;-;28;3;11;221;72;35;77;129;68;166;553;260;305;492;9;14;23;11;3007
2018;28;167;57;2;144;83;12;24;6;51;13;17;210;53;22;71;179;70;240;525;325;256;447;7;19;20;20;3068
2019;25;216;50;3;141;70;11;31;21;114;12;23;254;57;29;77;186;99;224;555;406;282;696;9;30;15;21;3657
2020;19;147;26;1;71;20;2;12;9;45;9;19;80;31;16;62;221;1;118;340;176;151;220;8;15;15;17;1851
2021;12;137;36;4;56;40;2;15;3;44;11;8;140;28;15;66;159;-;103;303;200;148;195;3;6;22;9;1765
2022;14;85;46;6;107;34;12;29;5;96;8;20;534;86;40;136;159;-;338;477;303;186;270;4;12;15;18;3040
Total;707;4459;901;40;1823;1080;73;461;81;1235;232;247;3507;909;671;1828;2175;2120;3630;10591;4981;6255;6880;105;156;250;382;55779
 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
