Mês notificação;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Janeiro;146;434;1890;2582;3523;4724;6125;8682;12308;13784;14067;10792;12211;20100
Fevereiro;104;609;1842;2502;3562;4426;6152;7907;10819;14436;12232;11810;14989;17614
Marco;120;856;2182;2919;3341;5767;7770;9823;13505;12731;12051;13376;18690;22914
Abril;126;1191;2118;3241;3643;4936;6272;7768;13604;13443;7365;12506;16146;17190
Maio;121;1383;2257;3123;3881;5422;7519;10551;13794;13681;7898;12758;19242;19469
Junho;139;1390;2077;2767;3600;5585;7910;9825;11694;11559;8931;12969;16460;12874
Julho;212;1781;2218;3400;4449;5705;7584;10263;13652;14155;10412;14450;18100;2237
Agosto;190;1880;2537;3648;4481;6352;9035;12374;15838;14671;10656;16401;21940;-
Setembro;191;1714;2380;3663;4748;6461;7496;10532;13063;14184;11103;15703;19982;-
Outubro;239;1787;2666;4048;4913;5996;7612;10989;15370;15338;11288;15980;19941;-
Novembro;385;1731;2391;3315;4347;6496;8244;11373;13469;14669;11219;17247;18866;-
Dezembro;551;1650;2063;3088;4408;6310;8483;11342;12355;12598;10290;16029;18521;-
