Faixa Etária;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;Total
Em branco/IGN;1;2;2;1;6;4;7;8;16;4;14;18;9;92
out/14;94;130;199;260;310;447;618;811;767;617;677;871;473;6274
15-19;1087;1973;3152;4360;6604;9264;13037;16138;16511;12344;15362;17925;9551;127308
20-39;8259;13553;19801;26740;37850;50891;69115;90990;95749;77965;104348;129383;67034;791678
40-59;5254;8222;11428;13281;17563;22136;28563;37806;38068;27382;36956;48673;25759;321091
60-64;696;1129;1508;1747;2427;3012;4016;5461;5395;3534;4854;6654;3533;43966
65-69;434;713;994;1130;1535;1963;2732;3683;3805;2466;3365;4758;2488;30066
70-79;444;679;926;1058;1423;1862;2529;3497;3768;2430;3385;5058;2658;29717
80 e +;137;220;286;319;462;623;812;1077;1170;770;1060;1748;893;9577
Total;16406;26621;38296;48896;68180;90202;121429;159471;165249;127512;170021;215088;112398;1359769
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
 ;;;;;;;;;;;;;;
