Ano notificação;RO;AC;AM;RR;PA;AP;TO;MA;PI;CE;RN;PB;PE;AL;SE;BA;MG;ES;RJ;SP;PR;SC;RS;MS;MT;GO;DF;Total
2010;7;4;74;-;21;1;-;2;1;152;4;10;5;7;6;44;97;46;1088;343;35;28;112;328;11;90;8;2524
2011;41;7;267;6;131;2;31;16;69;638;134;118;370;19;292;282;692;912;1437;8794;374;227;740;495;122;133;57;16406
2012;64;3;613;6;116;1;40;47;46;474;265;133;399;35;512;460;1506;1422;1731;13882;744;493;2449;798;156;172;54;26621
2013;107;23;936;5;227;29;118;99;62;503;309;136;352;54;929;900;2219;1919;3137;18579;1361;1378;3242;1048;203;319;102;38296
2014;155;49;848;41;384;31;178;271;112;483;350;142;464;67;942;1417;3337;2369;2972;22496;2212;1947;5599;1125;310;431;164;48896
2015;314;84;752;99;434;78;329;561;126;648;573;273;1217;87;986;2158;5461;2453;3986;27043;4072;3011;9961;1146;641;1052;635;68180
2016;696;132;1020;248;1015;184;688;843;190;1031;802;165;2440;258;856;3511;7365;3415;7131;30983;5435;5428;10889;1350;845;1777;1505;90202
2017;737;326;1725;171;1715;260;1017;1194;372;1701;1443;1005;3084;469;1160;4721;10725;3603;11958;37108;7490;8424;13167;3014;965;2155;1720;121429
2018;1200;486;3264;651;2552;411;1277;1777;814;2712;1685;1516;7357;540;831;9384;14398;4507;15661;37854;10253;11932;15594;4440;1759;4746;1870;159471
2019;1022;300;4494;652;2678;492;1456;1743;1133;3070;1788;1826;8068;410;570;9224;15143;5011;16954;39442;10860;11575;14845;3300;1862;5205;2126;165249
2020;1062;221;3265;412;2313;314;938;1238;592;2511;1522;915;4483;244;628;5112;12359;3109;14569;32070;7225;9515;12752;2278;1377;4183;2305;127512
2021;1755;1357;4534;521;3391;740;1235;1968;972;3272;2384;1276;7419;561;1787;7710;15680;4349;18593;41160;8287;13504;14636;2362;1668;6516;2384;170021
2022;2486;1335;5191;818;4308;949;1523;2835;1018;4285;2596;1471;8190;660;2109;9143;20544;7144;22401;52547;12043;16719;18315;2977;2903;8084;2494;215088
2023;1235;861;2273;432;2556;521;1046;1690;533;2334;1635;769;4150;1387;941;4235;11212;4126;9566;26857;6346;7805;9521;1532;1906;4945;1984;112398
Total;10881;5188;29256;4062;21841;4013;9876;14284;6040;23814;15490;9755;47998;4798;12549;58301;120738;44385;131184;389158;76737;91986;131822;26193;14728;39808;17408;1362293
 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
