Ano notificação;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez
2010;146;104;120;126;121;139;212;190;191;239;385;551
2011;434;609;856;1191;1383;1390;1781;1880;1714;1787;1731;1650
2012;1890;1842;2182;2118;2257;2077;2218;2537;2380;2666;2391;2063
2013;2582;2502;2919;3241;3123;2767;3400;3648;3663;4048;3315;3088
2014;3523;3562;3341;3643;3881;3600;4449;4481;4748;4913;4347;4408
2015;4724;4426;5767;4936;5422;5585;5705;6352;6461;5996;6496;6310
2016;6125;6152;7770;6272;7519;7910;7584;9035;7496;7612;8244;8483
2017;8682;7907;9823;7768;10551;9825;10263;12374;10532;10989;11373;11342
2018;12308;10819;13505;13604;13794;11694;13652;15838;13063;15370;13469;12355
2019;13784;14436;12731;13443;13681;11559;14155;14671;14184;15338;14669;12598
2020;14067;12232;12051;7365;7898;8931;10412;10656;11103;11288;11219;10290
2021;10792;11810;13376;12506;12758;12969;14450;16401;15703;15980;17247;16029
2022;12211;14989;18690;16146;19242;16460;18100;21940;19982;19941;18866;18521
2023;20100;17614;22914;17190;19469;12874;2237;-;-;-;-;-
 ;;;;;;;;;;;;
